name,category,brand,description
Resistance Strengthening Shampoo for Damaged Lengths and Split Ends,Shampoo,Kérastase,"What it is: A daily shampoo infused with amino acids to stimulate the scalp, restore damaged lengths, and seal split ends with intense fortifying care.Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Damage/Split Ends/Breakage- Dryness- ShineKey Benefits: - Gently Cleanses to Stimulate the Scalp- Strengthens to Seal Split Ends and Promote Healthy Hair Lengths- Protects Hair from External AggressorsHighlighted Ingredients:- Creatine-R: An exclusive complex composed of amino acids to reinforce the internal structure of the hair fiber. - Taurine: Protects hair surface to promote a stimulated and healthy scalp.- Ceramides: Aid in strengthening hair, enhancing shine and suppleness, and adding moisture. What Else You Need to Know: Hair lengths, also known as the mid-section between the root and tip of each hair strand, are key contributors to healthy hair. Strong lengths help to prevent breakage and split ends for visibly longer hair. This daily shampoo reinforces damaged hair lengths and stimulates the scalp with intense fortifying care. Its replenishing formula is infused with a blend of amino acids to protect hair from external aggressors and is recommended by professional stylists for healthier-looking hair with enhanced shine."
Color Security Shampoo,Shampoo,COLOR WOW,"What it is: A clean, sulfate-free shampoo formulated without ingredients that leave residue, rinsing off completely for truly clean, healthy hair and scalp.Hair Type: Straight, Wavy, Curly, and CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Thinning- Color Safe- Color FadingKey Benefits: - Residue-free cleansing for glossier results - Prevents color fade- Healthier scalp for visibly thicker hairHighlighted Ingredients:- Sodium Methyl Cocoyl Taurate: Coconut-derived ingredient cleanses without stripping and provides luxurious foaming. - Sodium Cocoyl Glycinate: Creates rich foam while gently cleansing.Ingredient Callouts: Free of parabens, formaldehydes, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: Many shampoos contain needless ingredients to deliver extra benefits, like thickening or smoothing. These ingredients don't easily rinse out, leaving residue that dulls hair or potentially causes thinning. With this no-residue formula, everything rinses off, giving you the appearance of the cleanest, healthiest hair and scalp possible!"
Smooth Shampoo for Coarse & Textured Hair,Shampoo,Virtue,"What it is: A smoothing shampoo that works to both cleanse and calm unruly hair.Hair Type: Fine, Medium, and ThickHair Texture: Wavy and CurlyHair Concerns:- Frizz- Straightening/Smoothing- Damage/Split Ends/BreakageKey Benefits: Defrizzes, Hydrates, and SmoothsFormulation: Rich LiquidHighlighted Ingredients:- Pink Pomelo: A nutrient-rich citrus fruit full of vitamin A, C, and B1 and zinc that gives hair a shot of vitality. - Phospholipids: Help fight frizz and protect against humidity. - Gotu Kola: A multitasking Indian herb that promotes strength, smoothness, and luster.- Alpha Keratin 60ku®: a healing protein that’s identical to the keratin that makes up 90% of our hair. It repaves and refills keratin, repairing damaged hair with each use.Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan, cruelty-free, and gluten-free, and comes in recyclable packaging.What Else You Need to Know: Formulated with a first-of-its-kind Alpha Keratin 60ku® protein, Virtue Smooth Shampoo acts as a powerful in-shower, daily smoothing treatment for hair. It re-paves rough cuticles and reduces friction between each strand, tackling frizz at the source. It features a restorative blend of herbs, fruits, and citrus, incorporating soothing lavender and fresh mint essential oils.Clinical Results: In a consumer perception study of 45 women who used Smooth Shampoo and Conditioner for 2 weeks, after 10 uses: - 97% of women said their hair looked smoother- 97% of women said their hair looked healthier- 80% of women felt their hair looked smoother and more hydrated"
Stem Cell Conditioner For Thicker+ Fuller-Looking Hair ,Conditioner,Act+Acre,"What it is: This lightweight conditioner delivers lasting hydration to strengthen + promote visibly thicker + fuller looking hair. Optimized for fine/thin hair.Hair Texture: Straight and WavyHair Type: FineHair Concerns:- Color Safe- Dryness- ThinningKey Benefits: - Deeply moisturizes and hydrates- Prevents damage and breakage- Improves hair strengthHighlighted Ingredients:- H2-Grow Complex™: Blend with Stem Cells that protects follicle from damage.- Meadowfoam Seed Oil: Provides long-lasting moisture and adds shine.- Abyssinica Oil: Protects against damage and breakage.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free and cruelty-free.What Else You Need to Know: Stem Cell Conditioner is formulated with our H2-Grow Complex™, blend of clinically validated ingredients that protect the hair follicle + promote thicker looking hair. Meadowfoam Seed Oil and Abyssinica Oil work to provide deep hydration to the hair while protecting it against damage and breakage.Fragrance Description: This botanical fragrance blend features rich notes of cardamom, iris, violet, and sandalwood. Musky, leathery undertones provide a lasting silage and addictive comfort.Clinical Results: In a clinical study performed by the ingredient house, results found:- Swiss apple stem cells led to 34% less shedding within 1 month of useCLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness."
Foundation Hydrating Shampoo,Shampoo,RŌZ,"What it is: A gentle, thoroughly cleansing, daily shampoo that hydrates and balances, creating the perfect foundation for both air-drying and styling.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Dandruff- Flaky, Dry Scalp- Scalp BuildupKey Benefits: - Is a gentle daily cleanser with a rich lather- Supports a balanced, hydrated scalp and leaves hair in its healthiest state- Strengthens and reinforces hair’s healthHighlighted Ingredients:- BotaniComplex™: Protects, soothes, hydrates, and nourishes hair.- Coconut-Based Surfactants: Cleanse without stripping, supporting the scalp’s natural pH and microbiome.- Ceramide Complex: Strengthens and reinforces hair’s health.Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This hydrating shampoo uses coconut-based surfactants, not sulfates, to create its luxuriously rich lather. Enriched with RŌZ’s signature BotaniComplex™ to protect and nourish, the pH-balanced, silicone-free formula preserves your color while supporting overall hair and scalp health.This product is an Allure Best of Beauty award winner.Fragrance Description: RŌZ’s signature fragrance evokes the spirit of an untamed California garden—verdant and green—with the subtle aroma of warm, woody vetiver and fresh, rejuvenating citron. Inspired by the misty mountains of Big Sur, it contains notes of bergamot, vetiver, neroli, and fig.Clean at SephoraOur commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness.This product is an Allure Best of Beauty award winner."
Frizz Control Conditioner,Conditioner,Moroccanoil,"What it is: A conditioner that imparts optimal nourishment to fight frizz, flyaways, and static while protecting hair against the effects of humidity.Hair Type: Straight, Wavy, Curly, and CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Frizz- ShineKey Benefits: - Reduces frizz, flyaways, static- Protects against humidity- Boosts softness and shine Highlighted Ingredients:- Argan Oil: Nourishes, enhances manageability, and reduces frizz.- Jackfruit Extract: Hydrates the hair for increased frizz resistance.- Amaranth Oil: Binds to the hair fiber to protect its keratin structure.Ingredient Callouts: Free of parabens and sulfates SLS & SLES. It is also cruelty-free.What Else You Need to Know: This rich frizz-fighting conditioner weightlessly restores manageability and shine to dull, frizz-prone hair. Upcycled jackfruit extract increases frizz resistance and protects against damage, while nori extract and amaranth oil strengthen and protect the hair’s keratin structure.Fragrance Description: Fragranced with the signature Moroccanoil scent, a blend of spicy amber and sweet floral notes.Clinical Results: Results based on an independent lab study: - Provides frizz control for up to 72 hours- Protects against frizz in up to 90% humidity"
Hydrate Sheer Shampoo for Fine Hair,Shampoo,Pureology,"What it is: A creamy, silicone-free, and sulfate-free shampoo that hydrates fine, dry, color-treated hair.Hair Type: Fine and MediumHair Texture: Coily, Curly, Straight, and WavyHair Concerns:- Dryness- Shine- Color SafeKey Benefits: - Provides lightweight moisture- Gives hair touchable softness- Provides extraordinary color protection- Highly concentrated formula allows for 75+ shampoos in a single bottleFormulation: LiquidHighlighted Ingredients:- Jojoba: Moisturizes hair.- Green Tea: Promotes a healthy-looking scalp.- Sage: Supports hair follicles.Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This formula includes a signature aromatherapy blend of lavender, bergamot, and patchouli and a patented Antifade Complex® to protect color vibrancy and ensure lasting color payoff. It also includes sunflower seed, a UV filter, and vitamin E to fight color-depleting environmental effects while ensuring lasting shine."
Thickening Volume Shampoo,Shampoo,Bumble and bumble,"What it is: A lightweight volumizing shampoo that uplifts and amplifies hair for instant fullness by removing buildup and delivers hydration for soft, moveable volume.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine and MediumHair Concerns:- Color-safe- Dryness- Volumizing  Key Benefits: - Cleans hair - Preps for volume - Lightweight hydration Highlighted Ingredients:- Formulated with Panthenol (Pro-Vitamin B5): Hydrates hair. Ingredient Callouts: Free of parabens, formaldehydes, phthalates, and mineral oil. It is also cruelty-free.What Else You Need to Know: This volumizing shampoo instantly uplifts hair by removing buildup to provide a body-building boost. Use it as part of a hair thickening routine with Bumble and bumble’s Thickening Volume Conditioner to plump strands for a thicker, fuller look and to add shine and strengthen strands.Fragrance Description: Inspired by the fresh sea air and brilliant warm sun, this crisp, invigorating fragrance has sparkling top notes of lemon, cucumber, and bergamot. Sea water, crisp apple, and exotic water lily add sparkle to the dry-down of cedarwood, pure white musk, and soft ambergris.Clinical Results: In a test, when Bumble and bumble’s Thickening Volume Shampoo is used with their Thickening Volume Conditioner, this washday duo gives: - Instantly thicker hair - 2x less breakage versus untreated hair- 2x shine versus unwashed hair"
Densify Concentrated Shampoo for Fine or Thinning Hair,Shampoo,The Rootist,"What it is: A gentle, sulfate-free shampoo that boosts volume and thickens strands while promoting fuller-looking hair over time.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Color Safe- Thinning- VolumizingKey Benefits: - Instantly adds volume and bounce- Minimizes hair fallout due to breakage- Promotes a healthy, balanced environment for thicker, fuller-looking hair over timeHighlighted Ingredients:- Patent-Pending Rootbiomic Ferment™: Contains nutrient-rich superbrew for anchored roots, balanced scalp, and healthy hair.- Amaranth Peptides: Visibly thickens the diameter of hair strands for rapid fullness.- Inulin: Cleanses with a moisturizing lather while keeping hair anchored at the root.Ingredient Callouts: This product is gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This gentle, density-boosting shampoo is fermented to feed roots, scalp, and hair the nutrition needed to help minimize hair fallout and shedding due to breakage, helping hair appear thicker and fuller over time. It is ultra-concentrated, so you only need to use half your usual shampoo amount.Fragrance Description: This fragrance created exclusively for The Rootist and was created in collaboration with one of the world's leading clean fragrance houses and inspired by the harmony of nature. It comes to life as a vibrant and invigorating blend that fuses warm, woody notes with a subtle, comforting musk for an uplifting experience.Clinical Results: Based on an expert grading evaluation on 34 panelists after use of the Densify Shampoo, Conditioner, and Serum:- Clinically proven to visibly improve hair density, thickness, and fullness in as few as 90 daysDue to breakage from dry comb test after use of the Densify Shampoo, Conditioner, and Serum for 120 days:- Reduces hair fallout by up to 85%Based on consumer evaluation on 34 panelists after use of the Densify Shampoo, Conditioner and Serum for 120 days:- 91% saw less thinning at the scalpClean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency."
GRO Revitalizing Shampoo for Thinning Hair,Shampoo,Vegamour,"What it is: A clinically tested shampoo that smooths, adds shine and strengthens thinning strands without weighing them down. The formula supports hair that looks and feels thicker, fuller and healthier. Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Thinning- Shine- Color SafeKey Benefits: - Sets the foundation for thicker, fuller, healthier looking hair- Strengthens hair to reduce breakage- Cleanses and removes buildupHighlighted Ingredients:- Biomimetic Peptides and Caffeine: Stimulate and nourish the scalp.- Biotin: Strengthens hair to reduce breakage.- Karmatin™: A vegan keratin alternative, formulated without silicones, that adds hydration, strength and shine without the weight. Ingredient Callouts: This product is vegan, gluten-free, and cruelty-free.What Else You Need to Know: Formulated for those with thinning hair, this shampoo features powerful phytoactives and Karmatin™, a vegan keratin alternative, that cleanse, strengthen and smooth strands while enhancing shine. Biomimetic peptides and caffeine stimulate and nourish the scalp for a root-to-tip lather and rinse.Fragrance Description: A fresh, citrusy blend with soft floral undertones.Clinical Results: In a controlled hair swatch study using GRO Revitalizing Shampoo and Conditioner:- 79% reduction in breakage after one use- 5x stronger strands after one useCLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness."
Restore Repairing Shampoo,Shampoo,Living Proof,"What it is: A strengthening shampoo that keeps hair cleaner and healthier for longer, powered by breakthrough Sili-CLONE™ HairTech.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Color Safe- Damage, Split Ends, and Breakage- ShineKey Benefits: - Delivers 95 percent less breakage- Hair feels stronger and protected- Long-lasting softness and manageabilityHighlighted Ingredients:- Sili-CLONE™ HairTech: Engineered to mimic the five key benefits of silicone—detangling, slip, sleekness, conditioning, and shine—while delivering fuller-looking hair.Ingredient Callouts: This product is cruelty-free.What Else You Need to Know: This reparative shampoo is formulated with Sili-CLONE™ HairTech, a breakthrough in silicone mimicry that feels like silicone, but makes hair better with every wash, improves hair texture and quality, and supports the longevity of healthy hair.  Fragrance Description: Crisp, juicy, and sparkling.Clinical Results: In a consumer use study using the Restore Repairing Shampoo and Conditioner, results showed:-Hair feels stronger and protected-Long-lasting softness and manageabilityIn a consumer study using the Restore Repairing Shampoo and Conditioner vs. untreated hair:-Delivers 95% less breakageClean at SephoraOur commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness."
"Volumizing Shampoo for Fine, Dry, Thinning Hair",Shampoo,Fable & Mane,"What it is: A weightless volumizing shampoo that plumps strands from root to ends for fuller-looking hair with fenugreek seed for fine to medium hair typesHair Texture: Straight, Wavy, and CurlyHair Type: Fine and MediumHair Concerns:- Shine- Thinning- VolumizingKey Benefits: - Plumps strands for fuller-looking hair- Gives weightless volume at the roots- Cleanses the hair and scalp without stripping away natural oils and moistureHighlighted Ingredients:- Fenugreek Seed: Plumps strands and adds volume while promoting a healthy scalp.- Onion Juice: Promotes healthy hair growth and strengthens strands for less breakage.- Amla Extract: Conditions hair and naturally provides UV protection for healthy strands.Ingredient Callouts: This product is vegan and cruelty-free.What Else You Need to Know: Enriched with potent Ayurvedic ingredients, fenugreek seeds for body and fullness and shine-boosting amla, this weightless shampoo plumps strands while cleansing the hair and scalp without stripping away natural moisture, for a soft, hydrated and voluminous mane. Fragrance Description: This volumizing shampoo has a majestically warm spice blend of Indian saffron and nutmeg, paired with midnight rose Damascena and Indian jasmine sambac, with a touch of incense and sandalwood for an unexpected richness and depth.Clinical Results: Based on 33 participants using the Volumizing Shampoo and Conditioner for 2 weeks:- 100% said they saw all-over fullness- 97% agree it enhances fullness and volume- 97% said it cleanses without drying hair and scalp-  91% saw instant weightless volumeClean at Sephora: Our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness."
Pro Longer Hair Thickening Conditioner for Split Ends,Conditioner,L'Oréal Professionnel,"What it is: A daily conditioner powered by exclusive technology that adds volume, strengthens, and thickens split ends to reduce the appearance of damage and promote noticeably longer hair.Hair Texture: Straight and WavyHair Type: FineHair Concerns:- Thinning- Volumizing- Damage, Split Ends, and BreakageKey Benefits: - Reduces the appearance of split ends- Strengthens mid-lengths for noticeably longer hair- Thickens ends while adding volumeHighlighted Ingredients:- Amino Acid: Prevents breakage and strengthens hair.- Filler A-100: Exclusive technology that penetrates the hair fiber to visibly thicken damaged or split ends.What Else You Need to Know: Reduce the appearance of split ends with this professional conditioner powered by exlusive technology and amino acids. Its advanced formula instantly penetrates and fills the hair surface to repair damage, strengthen, and thicken ends while adding volume and 5x more shine. Restores hair lengths and split ends to help maintain healthy, noticeably longer hair.Fragrance Description: A luxurious fragrance formulated with top notes of apple and muguet, middle notes of rose and cyclamen, and base notes of musk and amber.Clinical Results: In an instrumental test with Pro Longer Hair Thickening Shampoo + Pro Longer Hair Thickening Conditioner vs. unwashed hair: - Reduces breakage by 95%- Reduces appearance of split ends by 17%- Delivers 64% more volume"
"Hydrating Recovery Conditioner for Dry, Damaged & Colored Hair",Conditioner,Virtue,"What it is: A conditioner to nurture and bring dry, damaged, and depleted hair back to hydrated health.Hair Type: Fine, Medium, and ThickHair Texture: Straight and WavyHair Concerns:- Damage/Split Ends/Breakage- Dryness- Color FadingKey Benefits: Softens, Renews, and HydratesFormulation: Rich LiquidHighlighted Ingredients:- Hydrolyzed Quinoa: This plant-based protein that enhances color, helps moisture retention, and adds shine. - Baobab Seed Oil: From the African Tree of Life (known for its ability to store water), this rich, silky oil helps act as an intense emollient for dry, damaged hair.  - Grapefruit Extract: Loaded with vitamin C and antioxidants, this refreshing fruit helps revitalize the scalp and returns hair’s vibrance and shine. -Alpha Keratin 60ku®:  a healing protein that’s identical to the keratin that makes up 90% of our hair. It repaves and refills keratin, repairing damaged hair with each use.Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product is also vegan, cruelty-free, and gluten-free, and comes in recyclable packaging. What Else You Need to Know: Virtue Recovery Conditioner is a rich, luxurious conditioner that helps bring damaged hair back to life. It reconstructs frayed cuticles and brittle ends, infusing hair with softness, shine, and manageability. It features a rich, nurturing blend of creamy coconut and tropical yuzu extracts wrapped in warm woods.This product is an Allure Best of Beauty award winner. Clinical Results: In a consumer perception study of 42 women who used Recovery Shampoo and Recovery Conditioner for 2 weeks, after 10 uses: - 97% of women said their hair felt softer after just 1 use - 97% of women felt their hair was less damaged - 91% of women felt their hair was more manageable"
GRO+ Advanced Balancing Shampoo for Severe Signs of Thinning,Shampoo,Vegamour,"What it is: A dermatologist co-developed, skincare-inspired scalp and hair shampoo that lightly exfoliates to cleanse and remove buildup without stripping.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Thinning- Volumizing- Damage, Split Ends, and Breakage Key Benefits: - Lightly exfoliates to remove buildup- Gives thinning hair a fast, volumizing boost- Promotes a balanced scalpHighlighted Ingredients:- GROActive+ Complex™: A patent-pending, AI-discovered, plant-based compound to address shedding. - Spanish Microalgae: A prebiotic scalp superfood that hydrates to support the skin barrier. - Niacinamide: Balances the scalp and protect from oxidative stress. Ingredient Callouts: This product is vegan, gluten-free, and cruelty-free.What Else You Need to Know: Co-developed by dermatologists, this shampoo is designed for those with severe shedding or fragile, thinning strands. Featuring scalp-nurturing actives, this formula effectively cleanses without stripping or over-drying already-delicate hair. Spanish microalgae act like a prebiotic superfood, supporting the scalp environment along with niacinamide and rosebay leaf, which together hydrate to rebalance the scalp. This shampoo also features Vegamour’s patent-pending, AI-discovered GROActive+ Complex to address shedding and visibly increase hair density.Fragrance Description: A subtle blend of energizing lemon and slightly herbal verbena.Clinical Results: In a controlled hair swatch study of GRO+ Advanced Shampoo and Conditioner with 40 participants, results showed:- 75% reduction in breakage after one useClean at SephoraOur commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness."
Mini Supershine Hydrating Shampoo,Shampoo,Oribe,wf
 Première Repairing Pre-Shampoo Treatment for Damaged Hair,Shampoo,Kérastase,"What it is: An innovative dual-action pre-shampoo treatment that visibly reverses hair damage*, repairs bonds & removes calcium build-up, leaving hair 99% stronger** and healthier. Apply in the shower, leave for 5 minutes, layer shampoo & rinse.Hair Texture: Straight and WavyHair Type: Fine, Medium, and ThickHair Concerns:- Damage, Split Ends, and Breakage- Dryness- ShineKey Benefits: - Removes calcium buildup for stronger hair inside and out- Repairs persistent damage, reversing stiffness and dullness for enhanced shine- Visibly reverses hair damageHighlighted Ingredients:- Citric Acid: This organic acid acts from surface to core to deeply repair bonds and remove calcium build up.- Glycine: This amino acid penetrates hair's inner layer, dramatically reduces breakage, and helps to neutralize dullness, and stiffness.What Else You Need to Know: Premiere repairing treatment visibly reverses hair damage* through innovative dual-action technology, which repairs bonds & removes calcium build-up for stronger hair inside and out**. Repairs persistent damage, reversing stiffness and dullness caused by calcium build up from your shower water. Leaves hair 99% stronger* & healthier with 75% more shine*** and 93% less breakage**** *Damage linked to frizz, dullness, roughness. Based on an instrumental and consumer test**System of Concentre, bain & fondant *vs. non conditioning shampoo***vs. unwashed hair**** vs. non conditioning shampooFragrance Description: This luxurious scent is comprised of mandarin and citrus top notes, silky and delicate floral middle notes, and finishes with rich woody bottom notes.Clinical Results: In a study vs. unwashed hair:- 75% more shineIn a study vs. non conditioning shampoo:- 93% less breakageIn a study where there was continuous use of the full system:- It reinforces weak hair bonds and reconnects broken links between keratin chains- Restore up to 99% of hair’s original strength"
Color Care Shampoo,Shampoo,Moroccanoil,"What it is: A pH-balanced, sulfate-free shampoo that helps protect against color fade while imparting radiant shine.Hair Type: Straight, Wavy, Curly, and CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Shine- Color Safe- Color FadingKey Benefits: - Extends the life of hair color- Enhances vibrancy and shine- Promotes healthier-looking hairHighlighted Ingredients:- ArganID™: Infuses argan oil into hair's cortex, helping to seal and repair the hair.- Sun Protection Quat: Color defense shield that helps protect hair from color loss and damage.- Pomegranate Extract: Helps to protect keratin from environmental aggressors.Ingredient Callouts: Free of parabens and sulfates SLS & SLES. It is also cruelty-free and comes in recyclable packaging.What Else You Need to Know: This gentle cleansing formula helps combat color fade while enhancing shine. It also uses ArganID™ technology to help repair and seal the cuticle to lock in color, while an Environmental Protection Blend helps protect against color loss and damage caused by sunlight and environmental aggressors.Fragrance Description: This shampoo has the signature Moroccanoil scent that combines notes of spicy amber and sweet florals.Clinical Results: In a consumer test: -90% of users noticed healthy-looking shine in just one use."
H.A.P.I. Hydrating & Frizz Control Untangled Conditioner,Conditioner,Sienna Naturals,"What it is: A plant-based, antioxidant-rich multivitamin conditioner that moisturizes and adds slip to detangle while protecting, softening, and smoothing.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Curl-Enhancing- Dryness- FrizzKey Benefits: - Adds slip for easy detangling- Drenches hair in hydration- Reduces frizzHighlighted Ingredients:- Raw Slippery Elm Bark: Glides between hairs for easier detangling. - Marshmallow Root Extract: Rich in protein that nurtures the scalp. - Brazilian Patauá Fruit Oil: Strengthens follicles and supports hair growth. Ingredient Callouts: This product is vegan, gluten-free, and cruelty-free.What Else You Need to Know: Formulated with hydrating, alimentary, pH-balanced ingredients (H.A.P.I.), such as natural silicone alternatives, proven actives, and unique botanicals, this conditioner add slip and softness for easy detangling while hydrating hair for shine, frizz reduction, and moisture retention—even after hair is styled.Fragrance Description: Fresh, sweet floral scent with hints of citrus, featuring ylang-ylang, jasmine, rose, orange blossom, geranium, chamomile, and blue tansy.Clinical Results: In a consumer-perception study of 32 people ages 18 and over who have purchased Sienna Naturals 2 or more times:- 94% said their hair feels softer after using Untangled Conditioner once- 91% said hair feels more hydrated after using Untangled Conditioner once- 91% said hair detangles more easily after using Untangled Conditioner onceClean at SephoraOur commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness."
Mini Strength Cure Conditioner for Damaged Hair,Conditioner,Pureology,"What it is: A gentle, reparative conditioner that strengthens and cares for hair damaged by color, heat, and everyday wear and tear.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Color Safe- Damage, Split Ends, and Breakage- DrynessKey Benefits: - Contains antioxidants that target damaged hair- Strengthens and hydrates hair to prevent future breakage- Softens hair, protects color, and adds shineHighlighted Ingredients:- Keravis: Is a strengthening protein that prevents hair breakage.- Astaxanthin: Is a powerful antioxidant, and part of the exclusive Asta-Repair technology that cares for damaged hair.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan and cruelty-free.What Else You Need to Know: This vegan conditioner includes a signature blend of raspberry, peach, and water flowers, plus the patented Antifade Complex® to protect color vibrancy. It’s also formulated with sunflower seed extract, a UV filter, and vitamin E to fight color-depleting environmental effects and ensure lasting shine. It’s suitable for non-color-treated hair as well.This product is an Allure Best of Beauty award winner.Fragrance Description: As bright as a California fruit farm, this fragrance unfolds with sweet raspberry and peach notes blended with fresh water flowers.Clinical Results: In consumer testing of 59 women, using a regimen of Strength Cure Shampoo (sold separately) and Conditioner:- 98% of women said hair felt soft- 95% of women said hair felt healthy"
Discipline Sulfate-Free Smoothing Shampoo for Frizzy Hair,Shampoo,Kérastase,"What it is: A gentle sulfate-free, keratin-safe, shampoo that nourishes, smooths, and reduces frizz to leave hair easily manageable and soft with enhanced shine.Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Frizz- Dryness- Straightening/SmoothingKey Benefits: - Gently cleanses to remove excess buildup- Smooths hair to reduce frizz- Softens hair for easy manageabilityHighlighted Ingredients:- Morpho-Kératine™ Complex: Restores hair fibers to protect against frizz and improve manageability.- Surface Perfector: Creates soft, smooth hair that is easy to detangle.- High Precision Care Agent: Restores hair with a natural, weightless effect.Ingredient Callouts: Free of sulfates SLS & SLES. What Else You Need to Know: This sulfate-free, keratin-safe shampoo is the ideal solution for all voluminous and frizz-prone hair types in need of deep nourishment and protection against humidity. Its weightless formula gently cleanses to easily detangle hair while improving manageability and restoring flexibility. This daily shampoo is recommended by professional hair stylists worldwide for softer, smoother hair with reduced frizz and enhanced shine. Fragrance Description: The fragrance of this shampoo is a story of pure passion with top notes of green petitgrain and violet petals, middle notes of lily, white rose, and sandalwood, and base notes of iris and vanilla."
Mini Hydrate Shampoo for Medium to Thick Hair,Shampoo,Pureology,"What it is: A creamy, sulfate-free shampoo that hydrates normal to thick, dry, color-treated hair.Hair Type:Medium and ThickHair Texture: Coily, Curly, Straight, and WavyHair Concerns:- Dryness- Frizz- Color FadingKey Benefits: - Superior moisture- Touchable softness- Extraordinary color protectionFormulation: LiquidHighlighted Ingredients:- Jojoba: Moisturizes hair.- Green Tea: Promotes a healthy-looking scalp.- Sage: Supports hair follicles.Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This formula includes a signature aromatherapy blend of lavender, bergamot, and patchouli and a patented Antifade Complex® to protect color vibrancy and ensure lasting color payoff. It also includes sunflower seed, a UV filter, and vitamin E to fight color-depleting environmental effects while ensuring lasting shine.Clinical Results: Based on consumer testing of 82 women using a regimen of Hydrate Shampoo and Conditioner (conditioner sold separately):- 88% of women said hair feels instantly soft- 84% of women said hair feels intensely nourishedThis product is an Allure Best of Beauty award winner."
