brand,category,description,name,price_tier
Davines,Hair Masks,"What it is: A smoothing and softening butter, for all hair types, that works immediately to provide strands with nourishment and hydration while detangling and reducing frizz. Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Dryness- Frizz- UV ProtectionKey Benefits: - Nourishes dry, dehydrated hair- Provides antioxidant protection against UV rays- Promotes extremely soft, full-bodied, luminous hairHighlighted Ingredients:- Roucou Oil: Protects and strengthens hair with beta-carotene and antioxidants.Ingredient Callouts: This product is vegan.What Else You Need to Know: Every product in Davines’s OI line contains oil extracted from the seeds of roucou, a plant native to the Amazon (also known as ""annatto""). Rich in carotenoid antioxidants, this oil works to reduce damage caused by external aggressors, keeping your hair looking and feeling its best.",Davines Mini OI Hair Butter Mask for Softness and Shine in 2.64 oz/ 75 ml Image 2,mid-range
COLOR WOW,Hair Masks,"What it is: A deeply hydrating and strengthening treatment mask, rich in Mediterranean-derived marine actives to deliver super-glossy, supple, and expensive-looking hair.Hair Type: Straight, Wavy, Curly, and CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Dryness- Color Safe- Damage/Split Ends/BreakageKey Benefits: - Penetrates, hydrates, and transforms internally- Strengthens hair- Creates silky, supple, healthy hair Highlighted Ingredients:- Blue Sea Kale: Binds with damaged keratin for strength and elasticity.- Hydrolyzed Vegetable Protein Complex: Weightless strengthener that smooths cuticle.- Mediterranean Sea Kelp and Algae Blend: Provides powerful natural moisture.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, and cruelty-free.What Else You Need to Know: Celeb stylist Chris Appleton’s essential ""prep step,"" this mask transforms all hair types to create super-healthy, perfect texture. It’s the key to his sexy, iconic styles. The breakthrough deep delivery system works internally and leaves no heavy or filmy coating to weigh hair down. This product is an Allure Best of Beauty award winner.",,mid-range
amika,Hair Masks,"What it is: A 60-second in-shower rinse out smoothing treatment that instantly reduces frizz by 73 percent—even in high humidity—for 2.2x smoother hair that lasts up to 72 hours.*Hair Type: Straight, Wavy, Curly, and CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Color Safe- Frizz- ShineKey Benefits: - Instantly reduces frizz by 73 percent*- Reduces frizz for up to 72 hours*- Softens, boosts shine, and improves manageabilityHighlighted Ingredients:- Glycolic Acid: Helps form a barrier that smooths the hair cuticle to reduce frizz.- Water Lily Extract: Helps tame frizz and improve manageability.- Sea Buckthorn: Rich in fatty acid omega 7, making it a holy grail for hair and scalp.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This 60-second in-shower rinse-out treatment is clinically shown to instantly reduce frizz by 73 percent* and keep frizz reduced for up to 72 hours* thanks to time-released humidity protection. It’s powered by smoothing superstars like glycolic acid—which helps to smooth the hair cuticle while creating a barrier to block out frizz—plus water lily extract and amika’s signature superfruit, sea buckthorn. The results: your hair, only 2.2x smoother.**clinically proven, after one use. Fragrance Description: A blend of warm vanilla, spicy sweet clover, and fresh citrus.Clinical Results: In a clinical test, results after one use included:- Frizz instantly reduced by 73%- Reduced frizz for 72 hours in high humidity- 2.2 times smoother hairClean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.",amika Smooth Over Frizz-Fighting Hair Treatment Mask in 6.7 oz Image 2,mid-range
Kérastase,Hair Styling Products,"What it is: A restorative hair mask for extremely damaged hair that intensely strengthens to protect against breakage for smoother, softer hair with enhanced shine.Hair Type: Medium and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Damage/Split Ends/Breakage- Dryness- ShineKey Benefits: - Strengthens Very Damaged Hair to Prevent Breakage- Intensely Nourishes and Hydrates - Smooths and Softens to Restore Hair ElasticityHighlighted Ingredients:- Gluco-Peptide: Enters the deepest layers of strands to strengthen existing hair and support growth.- Wheat Protein Derivative: Smooths and repairs elasticity of damaged hair.- Native Plant Cells: Ensure intense hydration, reducing the risk of weakened roots and leaving hair soft. What Else You Need to Know: This repairing hair mask helps strengthen extremely damaged, weak, over-processed, or over-styled hair. Its rich, luxurious formula enters the deepest layers of hair strands to restore elasticity and is recommended by professional stylists to prevent future breakage. Indulge your hair in this renewing formula that leaves hair smooth and soft while providing intense hydration from root to tip.",Kérastase Resistance Strengthening Hair Mask for Extremely Damaged Hair in 6.8 oz/ 200 mL Image 2,premium
Moroccanoil,Hair Masks,"What it is: A protein-rich, argan-oil-infused hair mask that restores and helps repair dry, weakened hair to improve texture, elasticity, and manageability. Hair Type: Fine, Medium, and ThickHair Texture: Coily, Curly, Straight, and WavyHair Concerns:- Dryness, Split Ends, and Breakage- DrynessKey Benefits: Hydrates, Fights Frizz, and Nurtures Damaged and Broken Hair and Split Ends Formulation: MaskHighlighted Ingredients:- Argan Oil: Helps to nurture hair.- Shea Butter: Provides nourishing benefits to hair and scalp. - Caryocar Brasiliense Fruit Oil: Nurtures hair with vitamins and essential fatty acids. Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product also comes in recyclable packaging.What Else You Need to Know: Moroccanoil Restorative Hair Mask helps revive damaged hair. With argan oil, shea butter, and reparative keratin proteins, the high-performance formula helps restore elasticity and rebuild hair's strength from the inside out. No heat is required.",Moroccanoil Restorative Hair Mask in 8.5 oz/ 250 mL Image 2,mid-range
amika,Hair Masks,"What it is: A 60-second multitasking formula that’s clinically shown to strengthen hair, reduce breakage, and prevent future damage.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Dryness- Color Safe- Damage, Split Ends, and BreakageKey Benefits: - Strengthens hair- Reduces breakage- Prevents future damageHighlighted Ingredients:- Bond-Fortifying Technology: Targets and strengthens hair bonds that are most prone to breakage.- Vegan Proteins: Made up of essential amino acids that can provide keratin-like benefits.- Sea Buckthorn: Rich in fatty-acid omega 7, making it the holy grail for all things hair. Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: Multitasking has never been so easy. Packed with bond-fortifying technology, plant butters, and vegan proteins, this fast-acting rinse-out mask doubles as a leave-in formula that works to moisturize, strengthen your strands, reduce breakage, and prevent future damage.Clinical Results: In a clinical test to reduce breakage and strengthen hair, results compared to control after three uses showed:- Hair was 2.4X stronger- Hair had 58% less breakage In a clinical test, results showed: -The formula is safe for color-treated hairClean + Planet Positive at SephoraWhen you see our Clean + Planet Positive seal, this brand's products are formulated without certain ingredients that are potentially harmful to human health and environment. They also address ingredients clients are concerned about, including phthalates, formaldehyde or formaldehyde releasers, oxybenzone and octinoxate, hydroquinone, triclosan, coal tar, methylisothiazolinone and methylchloroisothiazolinone, insoluble plastic microbeads, and more: For the full list, check out the Ingredients tab. On top of meeting the Clean at Sephora formulated without list, these brands are on a mission to do right by your routine and the planet by making climate commitments and focusing on sustainable sourcing, responsible packaging, and environmental giving.",amika The Kure Multi-Task​ Strength Repair Treatment Image 2,mid-range
Kérastase,Hair Masks,"What it is: A rich, nourishing hair mask that instantly moisturizes and softens all dry, dull, or damaged hair types with added shine.Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, and CurlyHair Concerns:- Damage/Split Ends/Breakage- Dryness- ShineKey Benefits: - Instantly adds moisture and enhances softness- Deeply restores hair movement for a lightweight bounce- Intensive and decadent formula blended with powerful actives for smoother hairHighlighted Ingredients:-Abyssine: Invigorates hair for added volume and bounce.-Hyaluronic Acid: Moisturizes and hydrates hair from root to ends.-Vitamin E: Protects against external environmental aggressors.What Else You Need to Know: This hair mask gives your hair unparalleled hydration and radiant shine. It delivers moisture to dry, dull, or damaged hair and is formulated with powerful actives like hyaluronic acid and vitamin E to smooth and soften hair. It is recommended by professional hair stylists as a nourishing deep treatment to restore hair movement with a lightweight bounce.",Kérastase Chronologiste Hair Mask for Dull and Brittle Hair in 6.7 oz. / 200 ml Image 2,premium
Curlsmith,Hair Masks,"What it is: An intense deep conditioner that nourishes and moisturizes even the driest hair.Hair Type: Fine, Medium, and ThickHair Texture: Wavy, Curly, and CoilyHair Concerns:- Curl-Enhancing - Frizz - ShineKey Benefits: - Detangles- Intensely Moisturizes Thirsty HairHighlighted Ingredients:- Shea Butter: Locks in moisture.- Resurrection Flower (Rose of Jericho): Boosts moisture retention. - Andiroba: Nourishes. Ingredient Callouts: Free of parabens, mineral oil, and sulfates SLS & SLES. It is also vegan, gluten-free, and cruelty-free.What Else You Need to Know: This intense deep conditioner has a thick, buttery texture that targets hair’s driest areas to re-moisturize without weighing down your style. It has great slip, helps detangle, and leaves curls completely transformed.",Curlsmith Double Hair Cream Deep Conditioner in 8 oz / 237 mL Image 2,mid-range
Briogeo,Hair Masks,"What it is: A deeply nourishing, protein-free hair mask with vitamins, minerals, and phytonutrients clinically shown to boost moisture for more hydrated hair.Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns: - Curl Enhancing- Dryness- FrizzKey Benefits: - Deeply hydrates dry hair- Enhances Softness and smoothness- Enriched with vitamins and minerals- Clean and naturally derived, formulated 6-Free™Formulation: MaskHighlighted Ingredients:- Avocado: Contains a robust fatty-acid composition that nourishes and conditions hair.- Kiwi: Extracted from nutrient-dense pulp that is known for its high vitamin C content, which provides antioxidant protection.- Spinach: A dark leafy green that is rich in flavonoids and antioxidants crucial for overall hair health. Ingredient Callouts: This product is vegan, cruelty-free, and gluten-free.What Else You Need to Know: This protein-free mask is fortified with green smoothie-inspired phytonutrients like spinach, chia seeds, and cocoa seed butter to help restore, maintain, and lock in moisture. It is perfect for all hair types, especially those with dry, curly, or coily hair. This mask is formulated with 97 percent naturally derived ingredients.Clean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.",Briogeo Superfoods™ Avocado + Kiwi Mega Moisture Hair Mask in 8.0 oz/ 240 mL Image 2,mid-range
K18 Biomimetic Hairscience,,"What it is: Get the ultimate damage repair with this bestselling duo. This set includes a full-size leave-in mask that reverses hair damage in just 4 minutes plus a free mini detox shampoo which removes buildup.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Color Safe- Damage, Split Ends, and Breakage- Scalp Build UpKey Benefits: - Cares for hair damage from bleach, color, chemical services, and heat in as few as four minutes- Color-safe detox shampoo removes buildup from product, sebum, and copper- Restores strength, softness, smoothness, shine, and bounceHighlighted Ingredients:- K18PEPTIDE: Targets damage from bleach, color, chemical services, and heat.- Activated Charcoal: Absorbs toxins, excess oils, and dirt in the hair and scalp.- Salicylic Acid: Visibly clears sebum buildup without stripping essential moisture and lipids.What Else You Need to Know: This two-step routine is designed for optimal reparative results. The mini color-safe detox shampoo creates a clean canvas on the hair by effectively removing product buildup, excess oil, and metals common in tap and hard water with a pH-optimized formula that won't leave hair over-stripped or easily tangled. The bestselling leave-in molecular repair hair mask—which repairs hair damage from bleach, color, chemical services, and heat in as little as four minutes—restoring strength, softness, smoothness, and bounce.Fragrance Description: These products have a fresh-floral scent with notes of jasmine and peony.Clinical Results: In a clinical study, after 1 application of the PEPTIDE PREP Detox Shampoo:- 99% of product buildup was removed- 95% of sebum was removed- 76% of copper was removedIn a clinical study, 1 4-minute application of the Leave-In Molecular Repair Hair Mask showed improved strength and elasticity in hair damaged by bleach, color, chemical services, and heat.This Set Contains:- 1.8 oz/ 53 mL PEPTIDE PREP™ Detox Shampoo- 1.7 oz/ 50 mL Leave-In Molecular Repair Hair MaskClean at Sephora",K18 Biomimetic Hairscience Ultimate Reset + Repair Hair Mask and Shampoo Value Set Image 2,premium
Briogeo,Hair Masks,"What it is: A lightweight, Superfood-infused mask with a water-cream texture to deeply hydrate fine strands without sacrificing volume or weighing hair down, infused with a juicy, tropical, passionfruit-inspired scent.Hair Texture: Straight, Wavy, and CurlyHair Type: Fine and MediumHair Concerns:- Dryness- Frizz- ShineKey Benefits: - Quenches dry, delicate strands with healthy hydration- Visibly improves softness and shine for healthier-looking hair- Contains a concentrated blend of phytonutrients that nourishes hair without sacrificing volumeHighlighted Ingredients:-Acai Extract : Protects strands from environmental aggressors.-Passionfruit Oil: Boosts moisture and adds shine.-Hydration Complex: Deeply hydrates parched hair.Ingredient Callouts: This product is vegan, gluten-free, and cruelty-free.What Else You Need to Know: Infused with antioxidant-rich ingredients like açaí extract and passionfruit oil, this protein-free hair mask locks in hydration to quench thirsty strands without weighing them down. The light-as-air water-cream texture nourishes fine-to-medium hair types for softer, smoother, more manageable results.Fragrance Description: Sweet, slightly tart berries meet fresh, crisp greens layered with a juicy, tropical finish.Clinical Results: A controlled study showed:- Softer, smoother, more manageable hair in 5 minutesClean + Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.","Briogeo Mini Superfoods™ Acai + Passionfruit Lightweight, Hydrating Hair Mask for Fine Hair in 2 oz/59 ml Image 2",mid-range
Kérastase,Hair Masks,"What it is: A hydrating hair mask that nourishes, easily detangles, and strengthens very dry, fine to medium dry hair.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine and MediumHair Concerns:- Dryness- Shine- Straightening and SmoothingKey Benefits: - Replenishes moisture with intense hydration- Smooths and easily detangles hair- Leaves hair noticeably softer with enhanced shineHighlighted Ingredients:- Plant-Based Proteins: Nourishes hair with essential nutriments and helps retain moisture.- Niacinamide: Locks in hydration for long-lasting hair strength.What Else You Need to Know: This intensely hydrating treatment mask nourishes, hydrates, and adds deep nutrition in fine to medium dry hair without weighing the hair down. It is formulated with plant-based proteins and niacinamide which helps to condition the hair, making it easier to comb and detangle. This treatment mask leaves hair also strengthens and adds more shine for healthy-looking hair. It is recommended by pro stylists for maximum weekly hydration and is the perfect addition to any haircare routine for enhanced shine and softer hair with a radiant finish.Fragrance Description: This mask smell like a fresh and floral composition, with top notes of bergamot, geranium, and bigaradier leaves for a clean scent, middle notes of peony, ylang, jasmine, and orris to capture the floral aroma, and bottom notes of tonka, amber, cedarwood, amyris, and musk.Clinical Results: In a controlled study using Nutritive Ultra-Hydrating Mask for Dry Hair, results showed: - Hair was 116% shinier vs. unwashed hair - Hair was 89% conditioned and added 98% more strength to hair and vs non-conditioning shampoo",Kérastase Nutritive Ultra-Hydrating Mask for Dry Hair in 6.8 oz / 200 ml Image 2,premium
Oribe,Hair Masks,"What it is: An intensive, nutrient-rich mask that restores softness, shine, and body to dry, overworked hair with every application. Hair Type: Fine, Medium, and ThickHair Texture: Coily, Curly, Straight, and Wavy Hair Concerns:- Dryness - Shine - Damage, Split Ends, and BreakageKey Benefits: - Provides intense moisture and nourishment- Rebuilds and fortifies hair fibers- Improves hair elasticityHighlighted Ingredients:- Bio-Restorative Complex (Biotin, Plant Collagen, Caffeine, and Niacinamide): Penetrates the hair cuticle to fortify, nourish, and strengthen.- Baobab Tree Oil: Delivers vitamins A, D, E, and F along with antioxidant protection from damaging and drying free radicals.- Oribe Signature Complex: Defends hair from environmental elements, oxidative stress, photoaging, and the deterioration of natural keratin.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, and triclosan. It is also vegan, gluten-free, and cruelty-free.What Else You Need to Know: This restorative mask is like a fountain of youth for your hair. Fortified with baobab and jasmine extracts, it intensely moisturizes and rebuilds damaged hair fibers. Its biotin-, antioxidant-, and protein-rich formula penetrates and strengthens each strand, restoring softness, body, and brilliance with each use.All Oribe products are dermatologist tested and formulated with safe, high-quality, innovative ingredients. They are also PETA approved, UV protective, and color- and keratin-treatment safe.Fragrance Description: Created in collaboration with one of the oldest French Fragrance houses, Oribe’s signature scent, Côte d’Azur, features sun-drenched notes of Calabrian bergamot, white butterfly jasmine, and sandalwood—embodying the glamour and heat of the legendary destination.Research Results: Based on a 7-day consumer panel survey of 100 women:- 94% said hair feels softer and smoother- 91% said hair feels more hydrated and nourished- 86% said the appearance of damaged hair was reversed",Oribe Mini Gold Lust Transformative mask in 1.7 oz / 50 mL Image 2,premium
JVN,Hair Masks,"What it is: A richly moisturizing hair mask infused with JVN’s unique triple hydration system for up to 72 hours of instant hydration after a single use.Hair Type: Straight, Wavy, Curly, and CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Dryness- Frizz- Damage, Split Ends, and BreakageKey Benefits: - 72 hours of instant hydration- Leaves hair 15x easier to comb- Smooths frizz and split endsHighlighted Ingredients:- Keratris: A vegan keratin alternative that provides hydration and frizz control.- Hemisqualane: A silicone alternative that improves hair health and strength.- Amino Acids: Smooth hair cuticle for a silkier feel and reduce the look of split ends.Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: Deeply infuse moisture to transform dry hair and nourish split ends for your softest strands, thanks to a first-of-its-kind triple hydration system powered by hemisqualane, amino acids, and groundbreaking keratris—JVN’s high-performance, vegan keratin alternative, sourced from upcycled orange.Fragrance Description: An accord of amber woods and musk brings luminous warmth to a blend of balmy summer flowers, rounded by touches of crisp apple and violet leaf.Clinical Results: Based on a 21-day consumer study of 35 subjects used once per week: - 100% said hair felt more nourished and hydrated- 97% saw less breakage and a reduction in the appearance of split endsInstantly hydrates & retains moisture for upto 72 hours after one use*Clean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.",JVN Nurture Intense Hydration Hair Mask in 8 oz / 236 mL Image 2,mid-range
Moroccanoil,Hair Masks,"What it is: An in-shower intense conditioning and shine formula inspired by professional gloss services.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Color-Fading- Dryness- ShineKey Benefits: - Provides glass-like, radiant shine- Enhances color vibrancy and retention- Quickly increases softnessHighlighted Ingredients:- ArganID™: Infuses argan oil into hair’s cortex, helping to seal and repair the hair.- Crambe Abyssinica Seed Oil: Imparts a highly reflective veil that conditions and helps enhance vibrancy.- Amino Acid Blend: Offers color protection and repair benefits to help strengthen the hair.Ingredient Callouts: Free of parabens and sulfates SLS & SLES. It is also cruelty-free.What Else You Need to Know: This hair gloss mask leaves hair with a reflective, glass-like sheen, quickly boosting shine while also helping to protect and revitalize hair color between appointments. Formulated with ArganID™ technology, this mask helps repair and seal the cuticle for hair that’s soft, nourished, and healthy-looking.Fragrance Description: Fragrance Originale, the signature Moroccanoil scent, combines notes of spicy amber and sweet florals.Clinical Results: In an independent lab study, results show:- High Shine Gloss protects against color fading In an independent consumer study of women ages 18 to 65, after 1 use:- 95% agreed hair has a gloss-like finish- 96% said hair looks and feels healthy and richly conditioned- 86% agreed shine was instantly boosted",Moroccanoil Mini High Shine Gloss Mask in 2.5 oz/75 ml Image 2,mid-range
Moroccanoil,Hair Masks,"Which hair texture is it good for?✔ Straight✔ Wavy✔ CurlyHair Type: Fine and MediumHair Concerns:- Dryness- ShineWhat it is:A high-performance, argan oil-infused mask formulated for fine, dry hair that richly hydrates to improve texture and manageability.Key benefits:- Hydrates and conditions- Improves elasticity and shine- Revives dry hairIf you want to know more… Moroccanoil® Weightless Hydrating Mask is formulated for those with finer or lighter-colored hair. The rich and creamy mask hydrates and conditions hair while supporting its texture and manageability. The formula won’t weigh your hair down, and works in as little as five to seven minutes.What it is formulated WITHOUT:- Parabens- Phthalates",Moroccanoil Weightless Hydrating Mask in 8.5 oz/ 250 mL Image 2,mid-range
PATTERN by Tracee Ellis Ross,Hair Masks,"What it is: A softening and strengthening treatment mask that delivers slip, curl elongation, and definition to coils, leaving hair fortified and hydrated.Hair Texture: Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Curl-Enhancing- Damage, Split Ends, and Breakage- DrynessKey Benefits: - Delivers slip, curl elongation, and definition to coils without weighing down curls- Strengthens, fortifies, and decreases breakage- Hair will be left hydrated, silky, and pamperedHighlighted Ingredients:- Rice Water Ferment and Moringa Seed Extract: Softening and strengthening.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan and cruelty-free.What Else You Need to Know: The rice water-infused Treatment Mask has softening and strengthening ingredients such as rice water ferment and moringa seed extract to deliver slip, curl elongation, and definition. The protein-infused Treatment Mask leaves curly hair hydrated, silky, and pampered.",PATTERN by Tracee Ellis Ross Treatment Hair Mask with Rice Water Protein in 15 oz/ 443.6 mL Image 2,mid-range
Kérastase,Hair Masks,"What it is: An extra-rich, nourishing hair mask for all curly and coily hair types that intensely moisturizes to protect against breakage and reconstruct damaged curls, leaving hair soft and bouncy.Hair Type: Fine, Medium, and ThickHair Texture: Wavy, Curly, and CoilyHair Concerns:- Curl Enhancing- Dryness- Damage/Split Ends/BreakageKey Benefits: - Deeply Moisturizes and Conditions Dry, Damaged Curls- Protects Hair Against Future Breakage- Promotes Elasticity and Leaves Hair Softer With Enhanced ShineHighlighted Ingredients:- Manuka Honey: A rare and powerful honey rich in minerals and nutrients to intensely hydrate for smooth, manageable curls.- Ceramides: Seal moisture to restore natural body and protect against breakage.Ingredient Callouts: Free of mineral oil and sulfates SLS & SLES.What Else You Need to Know: Restore your curls and coils with this ultra-rich, hydrating hair mask blended with manuka honey and ceramides to intensely moisturize and protect against breakage. Stylists and curl specialists worldwide recommend its buttery-cream formula as the perfect sulfate-free remedy to replenish dry, damaged curls. Use as a conditioner or as a weekly, intense treatment for soft, bouncy curls with enhanced shine.Fragrance Description: Experience a warm and elegant composition born from the petals of glowing tuberoses. This fragrance features top notes of frangipani flower and jasmine petal, middle notes of tuberose petal fir absolu, freesia, and tiare, and base notes of white musk bouquet, honey milk, and nougat.",Kérastase Curl Manifesto Nourishing Mask for Curly Hair in 6.8 oz/ 200 mL Image 2,premium
Kérastase,Hair Masks,"What it is: A deeply conditioning hair mask infused with hyaluronic acid to strengthen and soften blonde hair damaged from lightening treatments.Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, and CurlyHair Concerns:- Color Safe- Dryness- Damage/Split Ends/BreakageKey Benefits: - Strengthens and deeply moisturizes damaged blonde hair- Adds hydration, softness, and shine- Nourishes damaged and weakened split endsHighlighted Ingredients:- Hyaluronic Acid: Ultra concentrated acid to strengthen damaged hair, prevent future breakage, and seal cuticles.- Edelweiss Flower: Rich in antioxidants to protect against daily damage and soften sensitized hair.What Else You Need to Know: The perfect professional color care for bleached, dark roots, and textured blonde hair, this hair mask deeply moisturizes and nourishes to leave hair soft and shiny. It’s formulated with hyaluronic acid and edelweiss flower. Lightened or highlighted hair is strengthened to reduce breakage and improve hair health.Fragrance Description: An aromatic scent of blooming flowers and dazzling citrus. Top notes of orange blossom, bergamot, and mandarin, heart notes of peony, fig, and laurel, and base notes of cedar wood, musk, and cardamom.",Kérastase Blond Absolu Strengthening Hair Mask for Very Damaged Blonde Hair in 6.8 oz/ 200 mL Image 2,premium
BondiBoost,Hair Masks,"What it is: A vegan, silicone-free, intensely conditioning hair mask packed with nutritious oils like argan, jojoba, and castor for stronger-, fuller-, healthier-looking hair.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Damage, Split Ends, Breakage- Frizz- ThinningKey Benefits: - Salon-level intense conditioning to nourish and visibly strengthen hair- Made for thinning hair types- Lightweight; won't leave hair feeling heavy or oilyHighlighted Ingredients:- Rosemary: Fights signs of thinning hair.- Peppermint Oil: Stimulates hair follicles and cools the scalp.- Queensland Nut Oil: Visibly strengthens strands and hydrates hair.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan and cruelty-free.What Else You Need to Know: Made for your weekly ""everything shower,"" this hair mask leaves hair soft and silky while fighting signs of thinning hair. Australian Aloe Vera provides supreme scalp care because a healthy scalp = healthy hair. Plus, it's clinically shown to improve split ends by 84% after four uses.Fragrance Description: Like a fruity pomegranate mojito on a first date, with notes of apricot and sweet orange.Clinical Results: Based on an in-vitro study of bleached hair tresses:- Improves split ends by 84% after 4 usesCLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.",BondiBoost HG Miracle Hair Mask with Rosemary for Hair Thinning in 8.45 oz / 250 ml Image 2,mid-range
PATTERN by Tracee Ellis Ross,Hair Masks,"What it is: A nutrient-dense mask that helps prevent breakage, softens, and hydrates curls.Hair Texture: Curly and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Curl-Enhancing- Damage, Split Ends, and Breakage- DrynessKey Benefits: - Softens, hydrates, and nourishes curls- Great for taking down protective styles or after heat-styling on your next wash day- Perfect solution when hair feels brittleHighlighted Ingredients:- White Tea: Helps reduce shedding.- Manuka Honey: Helps prevent breakage and maintain moisture balance.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This mask is clinically shown to reduce breakage by two times—that's double the protection. White tea and manuka honey maintain moisture balance and help retain length. This mask is also great for taking down your protective styles or when hair feels brittle. Fragrance Description: This mask is scented like black tea, honey, and rose.Clinical Results: Based on a third-party study:- Proven to nourish and protect with 2X more breakage resistance",PATTERN by Tracee Ellis Ross Breakage Barrier Hair Mask in 11oz / 325ml Image 2,mid-range
